country_code,iso_category_id,iso_category_name,iso_region_amount,number_gadm_regions,number_ne_regions
MNE,121,municipality,25,21,21
MDG,213,province,6,6,22
MHL,162,chain (of islands),2,1,2
MHL,378,municipality,24,,
MKD,288,municipality,80,85,84
MLI,132,region,10,11,9
MLI,436,district,1,,
MMR,163,region,7,15,14
MMR,264,state,7,,
MMR,457,union territory,1,,
MNG,333,province,21,22,22
MNG,360,capital city,1,,
MRT,289,region,15,13,13
MLT,280,local council,68,5,68
MUS,238,district,9,12,16
MUS,340,dependency,3,,
MDV,326,administrative atoll,19,1,21
MDV,476,city,2,,
MWI,135,region,3,28,28
MWI,367,district,28,,
MEX,239,state,31,32,33
MEX,341,federal entity,1,,
MYS,147,federal territory,3,16,16
MYS,156,state,13,,
MOZ,131,city,1,11,11
MOZ,281,province,10,,
NAM,157,region,14,13,13
NER,110,urban community,1,8,8
NER,282,region,7,,
NGA,200,state,36,37,37
NGA,435,capital territory,1,,
NIC,111,department,15,18,17
NIC,310,autonomous region,2,,
NLD,387,province,12,14,15
NLD,398,country,3,,
NLD,413,special municipality,3,,
NOR,257,county,11,19,21
NOR,345,arctic region,2,,
NPL,477,province,7,5,14
NRU,172,district,14,14,14
NZL,388,region,16,19,24
NZL,440,special island authority,1,,
OMN,399,governorate,11,11,11
PAN,232,indigenous region,4,13,12
PAN,389,province,10,,
PER,127,region,25,26,26
PER,190,municipality,1,,
PNG,137,district,1,22,20
PNG,173,province,20,,
PNG,186,autonomous region,1,,
PHL,128,region,17,81,118
PHL,260,province,82,,
PAK,138,Pakistan administered area,2,7,8
PAK,191,federal capital territory,1,,
PAK,261,province,4,,
POL,217,voivodship,16,16,16
PSE,349,governorate,16,2,
PRT,270,autonomous region,2,20,20
PRT,304,district,18,,
PLW,129,state,16,16,16
PRY,295,department,17,18,18
PRY,350,capital,1,,
QAT,179,municipality,8,7,7
ROU,296,department,41,42,42
ROU,308,municipality,1,,
SRB,224,autonomous province,2,25,25
SRB,271,city,1,,
SRB,337,district,29,,
RUS,290,administrative region,46,83,86
RUS,309,autonomous district,4,,
RUS,311,autonomous city,2,,
RUS,355,autonomous region,1,,
RUS,396,administrative territory,9,,
RUS,433,republic,21,,
RWA,267,city,1,5,5
RWA,343,province,4,,
SAU,214,region,13,,13
SLB,122,province,9,10,10
SLB,229,capital territory,1,,
SYC,164,district,27,26,26
SDN,395,state,18,18,17
SWE,422,county,21,21,21
SGP,215,district,5,5,5
SHN,230,geographical entity,3,3,3
SVN,423,municipality,200,12,193
SVN,497,urban municipality,12,,
SVK,250,region,8,8,8
SLE,359,area,1,4,4
SLE,424,province,4,,
SMR,165,municipality,9,9,9
SEN,175,region,14,14,14
SOM,303,region,18,18,13
SUR,123,district,10,10,10
SSD,306,state,10,12,
STP,133,autonomous region,1,2,2
STP,487,district,6,,
SLV,379,department,14,14,14
SYR,251,province,14,14,15
SWZ,166,region,4,4,4
TCD,380,province,23,23,22
TGO,252,region,5,5,5
THA,134,metropolitan administration,1,77,77
THA,291,province,76,,
THA,348,special administrative city,1,,
TJK,145,region,2,5,5
TJK,315,autonomous region,1,,
TJK,458,capital territory,1,,
TJK,472,districts under republic administration,1,,
TLS,253,municipality,12,13,13
TLS,478,special administrative region,1,,
TKM,292,city,1,6,5
TKM,425,region,5,,
TUN,124,governorate,24,24,23
TON,381,division,5,5,5
TUR,426,province,81,81,81
TTO,167,borough,3,15,16
TTO,176,region,9,,
TTO,463,ward,1,,
TTO,488,city,2,,
TUV,177,island council,7,9,1
TUV,307,town council,1,,
TWN,136,city,3,7,21
TWN,223,special municipality,6,,
TWN,344,county,13,,
TZA,427,region,31,30,30
UKR,382,city,2,27,25
UKR,383,region,24,,
UKR,400,republic,1,,
UGA,254,geographical region,4,58,112
UGA,334,district,134,,
UGA,459,city,1,,
UMI,255,"islands, groups of islands",9,9,8
USA,141,district,1,51,51
USA,265,outlying area,6,,
USA,335,state,50,,
URY,125,department,19,19,19
UZB,216,region,12,14,14
UZB,293,republic,1,,
UZB,445,city,1,,
VCT,384,parish,6,6,6
VEN,256,state,23,25,26
VEN,312,federal dependency,1,,
VEN,385,capital district,1,,
VNM,126,province,58,63,63
VNM,294,municipality,5,,
VUT,170,province,6,6,6
WLF,464,administrative precinct,3,3,3
WSM,171,district,11,11,11
YEM,142,municipality,1,21,21
YEM,386,governorate,21,,
ZAF,428,province,9,9,9
ZMB,168,province,10,10,10
ZWE,169,province,10,10,10
